candle_end_time	close
1990/12/19	113.1
1990/12/20	113.5
1990/12/21	113.5
1990/12/24	114
1990/12/25	114.1
1990/12/26	114.3
1990/12/27	114.25
1990/12/28	114.4
1990/12/31	114.7
1991/1/2	114.9
1991/1/3	114.9
1991/1/4	115.2
1991/1/7	115.7
1991/1/8	115.7
1991/1/9	116
1991/1/10	116.4
1991/1/11	116.5
1991/1/14	117
1991/1/15	117.5
1991/1/16	117.9
1991/1/17	117.9
1991/1/18	118.1
1991/1/21	118.3
1991/1/22	118.3
1991/1/23	118.4
1991/1/24	118.4
1991/1/25	118.7
1991/1/28	118.7
1991/1/29	118.7
1991/1/30	118.7
1991/1/31	118.8
1991/2/1	119
1991/2/4	119.1
1991/2/5	119.3
1991/2/6	119.7
1991/2/7	119.9
1991/2/8	120
1991/2/11	120.3
1991/2/12	120.5
1991/2/13	120.5
1991/2/14	120.7
1991/2/19	121
1991/2/20	121.2
1991/2/21	121.3
1991/2/22	121.9
1991/2/25	122.4
1991/2/26	122.7
1991/2/27	122.6
1991/2/28	122.6
1991/3/1	122.6
1991/3/4	122.7
1991/3/5	122.9
1991/3/6	122.9
1991/3/7	122.8
1991/3/8	123.1
1991/3/11	123.2
1991/3/12	123.1
1991/3/13	123.1
1991/3/14	123.2
1991/3/15	123.3
1991/3/18	123.8
1991/3/19	124.3
1991/3/20	124.2
1991/3/21	124.3
1991/3/22	124.3
1991/3/25	124.5
1991/3/26	124.5
1991/3/27	124.8
1991/3/28	124.9
1991/3/29	125.2
1991/4/1	125.4
1991/4/2	125.6
1991/4/3	125.8
1991/4/4	126.2
1991/4/5	126.7
1991/4/8	126.6
1991/4/9	126.64
1991/4/10	126.42
1991/4/11	126.32
1991/4/12	126.46
1991/4/15	126.6
1991/4/16	126.56
1991/4/17	126.64
1991/4/18	126.92
1991/4/19	126.92
1991/4/22	126.96
1991/4/23	126.78
1991/4/24	127.04
1991/4/25	126.83
1991/4/26	126.32
1991/4/29	126.14
1991/4/30	126.2
1991/5/2	125.46
1991/5/3	126
1991/5/7	126
1991/5/8	126
1991/5/9	126.1
1991/5/10	126.7
1991/5/13	126
